Mm6,Mp6,Ms6,Mm5,Mp5,Ms5,Mm4,Mp4,Ms4,Mm3,Mp3,Ms3,MS,S
14,13,15,12,18,12,14,12,14,7,10,12,10.99,0
12,15,16,10,15,14,11,13,12,9,10,7,10.88,0
13,13,14,7,10,10,10,9,10,5,8,9,9.8,0
11,11,11,8,13,9,10,13,9,6,6,8,9.46,0
15,15,13,13,11,12,11,12,8,7,9,10,9.85,0
13,14,16,12,11,14,11,11,11,7,8,10,10.05,0
13,14,12,9,9,11,10,11,9,7,8,8,8.53,0
11,13,11,10,12,11,8,11,9,7,12,7,10.28,0
12,14,12,14,12,13,7,9,8,7,8,11,8.64,0
10,10,12,6,9,7,8,9,8,5,8,10,9.52,0
14,13,14,15,15,16,12,13,14,10,8,9,13.79,1
16,16,18,16,17,20,16,14,16,13,14,13,14.36,1
15,15,17,17,17,17,15,14,14,12,11,11,12.75,1
17,14,17,16,14,17,15,15,12,15,14,14,14.39,1
15,13,15,13,11,16,13,12,11,11,12,13,12.14,1
16,13,17,12,12,16,10,13,15,5,6,17,12.02,1
16,15,18,17,17,19,15,16,18,15,14,15,13.15,1
16,14,17,15,16,17,15,12,17,13,14,14,13.65,1
12,12,17,12,13,16,10,9,9,11,12,11,11.69,1
11,12,15,10,13,17,12,12,15,7,9,13,11.61,1
14,12,15,13,15,16,12,11,13,10,12,9,11.61,1
14,12,13,13,15,15,11,11,13,8,12,10,11.55,1
17,13,17,15,17,16,13,14,17,11,10,11,11.9,1
15,15,15,14,13,15,15,15,11,10,13,11,12.19,1
11,10,11,18,10,8,10,11,11,16,9,13,12.82,1
17,13,15,13,14,14,11,14,13,11,8,14,11.85,1
14,12,16,14,13,16,13,13,15,10,13,12,12.17,1
13,11,17,12,13,16,11,12,16,6,10,13,12.48,1
10,9,13,11,10,16,10,11,15,14,13,11,12.96,1
13,10,15,12,11,11,9,9,10,7,9,12,11.7,1
13,10,14,10,13,10,15,16,11,17,10,13,12.77,1
18,13,14,16,16,18,15,14,15,15,14,14,12.47,1
18,14,18,15,15,18,10,13,14,12,11,13,13.3,1
15,14,17,11,13,12,12,14,13,11,11,12,13.59,1
16,15,18,12,13,15,10,11,13,10,11,13,12.39,1
17,17,18,14,16,16,12,17,15,9,9,17,12.59,1
12,15,18,15,17,15,13,15,14,14,16,14,14.47,1
11,13,13,9,11,12,8,13,12,8,7,17,12.82,1
14,12,13,11,11,13,9,11,12,10,10,14,11.71,1
14,12,14,11,14,13,12,11,15,12,13,14,11.6,1
15,14,16,16,14,13,15,14,15,16,13,15,13.06,1
14,16,14,11,13,11,10,15,11,11,8,15,13.16,1
14,14,14,10,11,13,10,15,14,10,9,17,12.73,1
14,14,17,12,16,14,8,15,15,14,11,17,14.16,1
12,14,15,14,16,17,13,16,15,12,12,11,12.5,1
14,11,11,13,13,15,13,12,11,11,6,9,11.56,1
16,13,15,16,14,19,15,17,15,12,13,13,13.68,1
16,16,16,15,16,12,14,16,15,13,16,14,13.7,1
12,10,12,12,15,14,11,16,13,9,11,11,12.05,1
14,12,14,12,14,14,11,16,15,11,11,11,12.85,1
12,13,11,14,13,17,13,15,13,16,12,11,13.39,1
16,16,17,13,14,16,13,12,12,10,12,11,13,1
17,14,16,15,15,14,13,13,13,13,13,10,14,1
13,15,15,12,15,13,14,15,11,13,13,14,12,1
19,16,18,16,16,17,15,13,13,16,12,17,14,1
18,17,18,15,18,17,15,17,17,13,13,12,14,1
16,14,17,14,15,15,14,13,14,12,15,12,14,1
13,13,15,12,15,16,14,16,17,11,14,12,13,1
15,15,16,14,15,16,14,17,14,14,16,13,12,1
14,14,17,15,13,14,15,16,12,15,13,16,14,1
17,15,16,16,14,14,16,16,12,14,12,16,14,1
16,14,17,15,14,16,13,13,13,12,14,13,13,1
15,15,17,11,13,15,10,12,11,9,11,13,12,1
12,14,13,11,14,9,9,8,8,10,12,13,11.62,1
17,16,13,17,17,13,14,17,16,15,15,15,13.57,1
13,14,12,13,14,13,15,17,15,14,15,12,11.9,1
16,17,14,14,17,14,13,16,18,13,16,14,13.94,1
17,18,19,18,16,17,16,15,16,16,13,15,13.67,1
15,16,14,14,15,14,13,14,11,12,13,15,12.53,1
15,16,14,14,17,13,11,11,9,6,9,13,13.33,1
14,16,15,13,17,13,13,14,12,11,11,15,13.38,1
12,16,13,13,16,13,12,15,13,13,14,13,12.17,1
16,18,17,17,17,16,13,15,14,14,12,16,12.86,1
11,15,14,15,16,14,16,16,14,14,14,14,14.44,1
15,15,16,15,13,12,10,14,14,12,11,15,12.96,1
8,11,10,5,9,9,13,11,16,15,15,15,13.5,1
13,16,15,11,14,14,13,12,15,12,10,12,12.95,1
12,15,15,9,13,13,14,14,14,16,13,12,12.11,1
16,16,13,12,13,12,17,17,13,15,15,15,13.45,1
16,17,12,15,14,10,12,13,13,11,7,13,12.78,1
15,17,17,17,16,14,10,13,12,10,11,13,12.28,1
12,12,12,12,14,9,9,12,12,10,10,14,13.52,1
7,13,12,9,9,10,5,9,11,5,5,11,11.69,1
10,10,12,9,10,11,14,14,11,10,11,11,11.88,1
