Mm6,Mp6,Ms6,Mm5,Mp5,Ms5,Mm4,Mp4,Ms4,Mm3,Mp3,Ms3,MS,S
15,14,10,12,12,11,14,13,7,14,11,7,9.76,A
11,12,11,10,13,15,10,11,11,7,5,10,9.57,A
17,15,13,13,15,13,14,15,12,12,10,9,11.06,A
9,9,12,10,12,15,11,13,12,9,5,9,11.19,A
14,12,14,12,14,14,11,16,15,11,11,11,12.85,D
15,14,17,12,14,13,8,10,14,9,7,10,9.76,A
15,16,16,15,17,18,17,19,17,16,14,13,15.13,C
12,15,12,15,16,17,17,17,15,17,15,13,15.49,C
11,12,13,12,12,15,12,12,9,12,10,9,11.41,A
12,13,11,14,13,17,13,15,13,16,12,11,13.39,D
14,14,16,10,12,9,10,9,11,4,9,11,10.57,A
16,16,17,13,14,16,13,12,12,10,12,11,13,D
12,14,16,12,14,16,10,9,13,8,8,9,11,A
17,14,16,15,15,14,13,13,13,13,13,10,14,D
13,15,15,12,15,13,14,15,11,13,13,14,12,D
11,11,10,10,12,9,10,9,9,8,9,8,10,A
19,16,18,16,16,17,15,13,13,16,12,17,14,C
20,18,19,19,18,19,19,19,19,19,19,15,18,C
18,17,18,15,18,17,15,17,17,13,13,12,14,D
16,14,17,14,15,15,14,13,14,12,15,12,14,D
13,13,15,12,15,16,14,16,17,11,14,12,13,D
15,15,16,14,15,16,14,17,14,14,16,13,12,D
13,14,12,14,14,14,13,13,10,8,10,9,10,A
14,14,17,15,13,14,15,16,12,15,13,16,14,C
17,15,16,16,14,14,16,16,12,14,12,16,14,D
16,14,17,15,14,16,13,13,13,12,14,13,13,D
16,14,15,13,12,11,12,9,11,11,5,11,11,A
13,13,15,11,10,10,9,12,9,10,7,6,11,A
15,15,17,11,13,15,10,12,11,9,11,13,12,D
12,14,13,11,14,9,9,8,8,10,12,13,11.62,D
17,16,13,17,17,13,14,17,16,15,15,15,13.57,D
17,17,17,18,18,17,19,17,14,18,16,19,15.42,C
13,14,12,13,14,13,15,17,15,14,15,12,11.9,D
15,17,15,15,18,16,17,17,11,17,17,18,15.05,C
14,12,11,13,13,10,8,9,8,9,8,9,9.43,A
18,17,17,17,19,17,17,18,13,15,16,17,16.08,C
16,17,14,14,17,14,13,16,18,13,16,14,13.94,D
17,18,19,18,16,17,16,15,16,16,13,15,13.67,D
15,14,13,12,14,14,12,12,16,10,9,14,11.43,A
15,16,14,14,15,14,13,14,11,12,13,15,12.53,D
18,17,17,17,19,16,19,18,14,17,16,18,15.43,C
19,18,17,18,19,17,18,18,19,18,19,19,16.4,C
12,15,12,13,14,11,8,8,10,9,7,10,8.98,A
13,13,13,11,14,12,11,11,15,12,10,13,10.82,A
15,16,14,14,17,13,11,11,9,6,9,13,13.33,D
9,12,11,8,11,8,7,8,15,6,6,9,8.62,A
11,12,9,8,10,11,12,12,13,9,8,11,10.6,A
14,12,8,16,12,9,9,13,8,12,9,9,10.12,A
13,14,11,11,14,10,9,10,9,6,9,8,11.02,A
14,16,15,13,17,13,13,14,12,11,11,15,13.38,D
11,15,13,12,12,12,11,12,15,9,12,11,9.72,A
12,16,13,13,16,13,12,15,13,13,14,13,12.17,D
11,14,13,12,14,12,7,10,13,6,7,12,10.73,A
11,13,9,10,9,8,8,8,13,8,9,13,9.37,A
7,13,10,10,12,9,7,11,11,6,6,14,9.07,A
12,15,14,11,14,12,11,11,10,6,11,13,11.06,A
10,15,11,9,14,12,10,13,14,9,11,12,10.52,A
16,18,17,17,17,16,13,15,14,14,12,16,12.86,D
10,15,11,11,11,9,6,8,12,7,4,7,10.39,A
10,15,12,9,8,9,5,12,9,6,6,9,9.32,A
10,12,10,9,11,10,7,7,13,6,7,9,10.21,A
11,11,10,11,12,8,10,10,7,6,6,4,10.02,A
11,15,14,15,16,14,16,16,14,14,14,14,14.44,D
19,19,19,17,18,17,17,16,19,17,17,18,15.46,C
17,18,17,16,17,16,17,19,15,15,16,18,14.92,C
15,15,16,15,13,12,10,14,14,12,11,15,12.96,D
16,16,14,14,16,13,16,17,11,11,12,15,11.5,A
13,16,15,13,13,12,9,13,12,10,7,11,10.18,A
8,11,10,5,9,9,13,11,16,15,15,15,13.5,D
13,16,15,11,14,14,13,12,15,12,10,12,12.95,D
18,18,15,19,17,16,19,20,12,16,17,18,14.78,C
15,18,17,17,18,14,18,19,18,17,18,18,15.92,C
17,18,17,18,18,12,18,18,16,16,16,18,15.43,C
12,15,15,9,13,13,14,14,14,16,13,12,12.11,D
16,16,13,12,13,12,17,17,13,15,15,15,13.45,D
13,15,12,15,14,9,13,13,12,7,4,10,10.41,A
9,15,12,10,14,10,6,11,14,6,8,10,11.49,A
10,14,11,8,9,9,8,8,12,7,3,8,9.46,A
16,17,12,15,14,10,12,13,13,11,7,13,12.78,D
9,14,11,10,12,9,7,9,11,5,4,9,11.23,A
15,17,17,17,16,14,10,13,12,10,11,13,12.28,D
13,16,17,14,16,12,10,13,16,8,5,12,11.09,A
12,12,12,12,14,9,9,12,12,10,10,14,13.52,D
12,15,13,12,12,9,9,11,11,8,7,10,10.24,A
11,14,13,12,13,13,12,12,12,7,7,11,11.12,A
10,14,12,12,12,9,9,10,12,9,7,12,11.24,A
7,13,12,9,9,10,5,9,11,5,5,11,11.69,D
14,14,12,13,10,10,13,13,11,8,9,12,10.36,A
11,11,11,9,8,12,10,5,13,7,6,10,10.1,A
14,14,14,13,12,11,14,13,9,10,9,12,10.58,A
10,10,12,9,10,11,14,14,11,10,11,11,11.88,D
15,17,17,12,15,15,16,15,17,14,13,16,13.69,D
10,12,13,9,11,10,12,13,10,6,9,13,10.08,A
8,14,13,6,10,10,10,7,9,6,3,11,8.51,A
18,17,16,18,16,14,16,14,11,9,9,15,13.01,D
13,15,17,9,13,13,12,9,15,8,7,13,10.03,A
13,15,13,10,11,10,12,12,12,13,10,11,12.42,D
10,12,9,8,9,8,7,10,9,5,7,11,8.73,A
15,14,12,13,15,12,13,13,14,9,11,8,13.57,D
16,14,8,15,13,18,16,13,13,13,12,11,13.85,D
11,14,15,9,15,15,12,13,13,15,16,16,13.95,D
11,13,11,9,8,10,9,10,8,6,9,10,9.61,A
12,13,12,10,12,9,11,12,7,9,12,8,10.47,A
13,12,12,8,14,12,9,11,9,3,8,8,7.53,A
11,14,13,7,12,15,12,10,6,3,8,8,7.41,A
14,10,8,11,12,9,10,12,9,8,7,7,7.49,A
9,11,8,7,12,11,7,11,9,5,5,7,8.33,A
12,10,9,8,10,11,11,10,7,6,4,8,9.43,A
9,11,10,8,11,9,9,13,11,4,5,3,7.7,A
16,14,13,11,15,13,9,11,12,6,8,10,10.65,A
11,9,10,10,14,11,7,9,11,4,7,8,7.63,A
13,16,12,13,13,14,13,13,14,7,11,11,9.51,A
13,13,11,11,11,10,8,10,8,2,10,8,7.74,A
12,10,10,11,9,12,13,13,6,11,13,7,11.7,D
15,14,11,12,13,11,14,9,11,6,7,12,5.73,A
11,12,12,7,11,11,6,8,10,5,8,10,8.88,A
9,14,10,9,13,10,9,11,11,7,10,10,9.39,A
15,15,14,12,11,14,13,11,10,4,10,9,8.42,A
9,11,9,8,9,10,7,11,12,4,8,8,8.19,A
12,11,14,6,9,14,8,9,10,4,7,9,7.94,A
8,9,10,6,10,11,12,10,8,7,7,9,9.29,A
14,14,9,7,12,10,11,9,6,2,7,7,7.03,A
11,11,11,6,14,15,6,10,14,3,5,7,8.81,A
14,13,13,9,14,14,10,12,10,10,8,9,9.95,A
9,14,8,11,10,13,9,11,11,6,8,12,10.16,A
11,15,13,10,12,7,12,12,11,7,9,8,9.57,A
14,16,15,10,11,12,12,12,11,7,8,10,11.09,A
12,13,13,10,8,14,8,8,8,6,8,10,8.47,A
15,15,14,15,13,13,15,13,13,10,10,10,12.09,D
11,14,14,6,11,8,10,10,8,7,7,11,9.59,A
11,14,11,7,11,11,9,12,8,6,6,7,8.69,A
11,14,14,13,10,15,11,11,12,7,11,14,10.67,A
14,13,15,12,18,12,14,12,14,7,10,12,10.99,A
16,16,16,15,13,17,16,13,17,11,12,12,13.84,D
12,15,16,10,15,14,11,13,12,9,10,7,10.88,A
13,13,14,7,10,10,10,9,10,5,8,9,9.8,A
11,11,11,8,13,9,10,13,9,6,6,8,9.46,A
15,15,13,13,11,12,11,12,8,7,9,10,9.85,A
13,14,16,12,11,14,11,11,11,7,8,10,10.05,A
13,14,12,9,9,11,10,11,9,7,8,8,8.53,A
18,17,18,15,18,14,15,16,17,10,15,12,14.08,D
11,13,11,10,12,11,8,11,9,7,12,7,10.28,A
12,14,12,14,12,13,7,9,8,7,8,11,8.64,A
10,10,12,6,9,7,8,9,8,5,8,10,9.52,A
8,13,11,12,10,13,15,15,15,11,9,8,10.07,A
10,12,11,12,9,9,6,11,8,6,10,6,9.72,A
9,13,12,11,14,10,9,10,10,7,11,10,9.54,A
9,14,12,11,14,12,9,13,12,7,8,6,9.2,A
13,15,15,11,14,15,10,10,8,4,11,10,9.93,A
15,14,12,16,15,12,15,13,16,9,9,6,11.09,A
8,15,15,10,15,15,6,12,11,7,10,10,9.68,A
14,15,16,14,15,14,9,12,10,8,9,6,11.2,A
12,13,11,11,12,13,9,11,8,6,10,8,10.82,A
14,18,16,16,19,17,15,17,16,13,14,11,15.02,C
8,12,14,9,14,13,9,14,12,7,10,7,11.81,D
11,14,13,12,13,10,8,12,11,4,10,11,10.63,A
13,17,14,13,16,14,18,18,15,12,14,16,13.75,D
12,17,15,10,13,18,15,14,14,13,13,13,11.3,A
9,11,13,12,12,9,7,11,11,7,10,7,11.59,D
12,13,15,16,15,15,15,14,14,13,12,8,12.44,D
17,15,11,15,15,17,14,14,12,9,15,12,12.96,D
17,14,15,16,16,16,15,10,7,9,10,9,10.4,A
17,17,18,17,19,19,16,17,20,11,17,17,15.87,C
12,10,9,11,11,13,9,7,11,5,7,7,9.66,A
9,12,11,9,11,15,9,8,11,5,8,10,10.15,A
15,16,12,14,11,16,13,12,11,9,11,13,11.52,D
12,13,8,12,9,14,13,10,9,9,10,9,10.09,A
14,15,15,12,14,16,14,11,10,10,11,13,11.84,D
15,15,13,16,17,16,15,15,13,13,15,11,13.5,D
17,18,17,19,20,19,19,19,20,19,19,18,18.27,C
17,18,18,19,19,19,19,18,19,18,18,19,17.38,C
18,16,17,13,18,18,18,16,15,14,17,17,14.7,C
15,13,12,10,14,14,11,13,14,9,13,14,11.39,D
18,15,14,16,17,17,17,17,18,18,17,18,17.06,C
13,13,14,13,15,13,13,17,14,14,14,14,12.68,D
15,15,14,12,15,15,8,16,13,8,9,10,11.58,A
12,12,14,10,12,10,6,12,11,8,7,8,8.99,A
18,18,16,17,17,18,12,15,16,13,15,17,13.56,D
17,17,16,16,17,17,15,15,15,16,14,17,15.39,C
18,15,15,15,16,16,13,16,18,17,17,18,16.4,C
14,13,13,11,15,11,9,14,11,13,12,16,11.96,D
13,15,12,13,15,12,9,11,14,9,12,13,11.07,D
18,15,16,14,15,15,15,15,14,16,15,17,15.88,C
15,13,15,16,16,15,9,13,15,11,13,14,14.01,D
15,14,12,14,14,13,11,15,15,14,12,15,14.31,D
13,15,15,13,17,16,13,16,16,16,17,17,16.19,C
14,13,15,14,15,13,13,15,13,15,15,15,13.33,D
11,7,10,9,12,7,8,12,8,9,9,8,11.24,A
16,13,15,16,16,15,17,15,11,14,15,13,14.37,C
16,12,16,14,16,14,11,12,13,9,9,13,14.41,D
17,16,18,19,17,18,18,18,15,17,18,18,16.39,C
18,18,18,19,19,19,18,19,19,19,19,19,17.42,C
18,15,13,12,17,14,13,13,15,8,12,15,11.22,D
12,14,12,14,17,14,12,18,17,11,13,17,12.51,D
15,10,14,13,12,12,10,12,9,16,11,6,12.32,D
18,16,15,15,14,12,10,12,12,15,13,8,13.8,D
16,16,15,16,16,16,13,15,12,13,11,10,12.71,D
15,14,15,11,13,13,10,13,11,11,12,7,11.86,D
17,16,14,16,16,15,18,18,14,19,16,11,16.12,C
15,16,14,16,16,12,11,14,12,8,10,8,11.3,D
19,15,15,14,16,12,14,15,12,12,12,9,11.71,D
17,16,16,14,15,15,8,7,13,4,9,11,10.97,A
16,16,17,15,17,15,14,17,15,18,16,12,15.45,C
16,16,15,17,17,16,12,14,12,5,8,10,10.63,A
15,16,15,13,15,17,11,11,15,6,9,9,10.48,A
18,18,19,17,18,16,14,15,16,8,11,10,12.13,D
17,15,17,15,17,18,14,14,16,8,12,8,12.84,D
15,14,17,13,17,17,13,14,14,9,12,10,12.33,D
18,17,18,16,18,18,16,17,18,13,16,10,15.72,C
18,18,18,18,18,17,14,16,17,11,15,10,13.99,D
18,17,17,16,18,17,16,15,16,10,12,10,11.75,D
15,14,17,12,17,14,14,13,17,9,15,10,13.64,D
14,17,14,13,14,15,9,10,14,9,9,10,12.84,D
13,15,14,16,16,15,14,14,15,12,13,9,14.14,D
16,18,17,16,18,16,17,16,17,15,15,13,15.42,C
16,16,14,15,17,16,15,16,15,10,12,10,13.53,D
15,14,13,13,13,14,10,9,13,9,8,8,12.97,D
12,13,9,12,12,13,13,13,13,10,11,10,14.01,D
14,14,12,13,14,12,13,12,14,9,11,10,12.95,D
16,17,16,14,17,15,14,14,14,11,11,11,13.44,D
14,17,11,15,17,16,16,13,12,13,12,10,12.32,D
15,18,16,17,16,17,18,17,17,15,17,9,14.69,C
14,18,14,18,18,17,18,17,16,17,15,12,14.35,C
18,19,15,18,18,17,19,17,17,17,17,14,14.35,C
13,15,13,11,17,16,9,13,15,11,13,9,12.65,D
6,12,10,14,14,12,12,13,11,12,14,8,12.77,D
11,15,11,12,16,14,11,10,14,12,11,10,11.83,D
15,14,13,16,14,13,16,13,12,14,9,11,12.56,D
10,14,12,13,14,14,10,12,15,8,12,12,12.88,D
12,15,9,12,16,12,10,12,12,8,9,7,9.94,A
14,16,13,11,16,14,15,11,14,13,11,12,12.74,D
17,17,14,17,16,15,13,15,12,11,11,7,11.27,D
11,15,14,15,15,14,10,14,12,14,15,11,14.2,D
10,14,13,14,15,12,16,11,12,11,11,10,11.78,D
15,17,11,15,18,17,12,14,12,11,12,11,12.6,D
14,14,13,15,17,17,14,16,16,16,14,17,13.96,D
14,14,15,13,17,15,13,15,15,14,16,14,15.39,C
12,10,8,5,15,13,4,8,15,4,9,11,8.68,A
12,11,6,9,15,13,11,13,13,11,14,13,11.77,D
14,13,14,15,16,14,19,16,13,14,17,15,15.51,C
12,12,11,11,11,13,11,9,10,6,9,11,11.1,A
12,13,12,11,10,12,11,10,11,10,11,11,11.61,D
11,13,13,12,13,11,13,11,11,8,8,11,10.54,A
15,13,14,12,12,14,12,9,11,8,9,11,11.51,D
11,11,12,11,10,12,12,10,11,8,10,11,11.57,D
12,15,16,12,12,13,10,11,12,7,10,11,11.42,D
14,12,12,10,13,13,13,12,12,6,10,11,11.35,D
16,17,16,16,17,16,18,17,14,16,18,16,15.99,C
